N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;QUÍMICA GENERAL;0;3;2;5;4;Null
7;;I;MINERÍA GENERAL;0;2;2;4;3;Null
8;;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null
9;;II;FÍSICA I;0;3;2;5;4;Null
10;;II;DIBUJO Y GEOMETRÍA DESCRIPTIVA;0;2;2;4;3;Null
11;;II;ANÁLISIS QUÍMICO INSTRUMENTAL;0;3;2;5;4;Null
12;;II;GEOLOGÍA GENERAL Y ESTRUCTURAL;0;2;4;6;4;Null
13;;II;MINERALOGIA Y PETROGRAFÍA;0;2;2;4;3;Null
14;;III;CALCULO INTEGRAL;0;2;2;4;3;Null
15;;III;FÍSICA II;0;2;2;4;3;Null
16;;III;TOPOGRAFÍA GENERAL;0;2;4;6;4;Null
17;;III;GEOLOGÍA DE MINAS;0;2;2;4;3;Null
18;;III;ESTÁTICA Y DINAMICA;0;3;2;5;4;Null
19;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
20;;III;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
21;;III;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
22;;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
23;;IV;CALCULO VECTORIAL;0;2;2;4;3;Null
24;;IV;ENERGÍA EN MINERÍA;0;2;2;4;3;Null
25;;IV;PROCESAMIENTO DE MINERALES;0;2;2;4;3;Null
26;;IV;MECÁNICA DE MATERIALES Y ESTRUCTURAS;0;3;2;5;4;Null
27;;IV;TOPOGRAFÍA MINERA;0;2;2;4;3;Null
28;;IV;ESTADÍSTICA;0;3;2;5;4;Null
29;;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
;;IV;EPISTEMOLOGÍA;0;2;2;4;3;Null
30;;V;MECÁNICA DE FLUIDOS PARA MINERÍA;0;3;2;5;4;Null
31;;V;TERMODINÁMICA;0;2;2;4;3;Null
32;;V;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;0;3;2;5;4;Null
33;;V;INGLÉS TÉCNICO;0;2;2;4;3;Null
34;;V;MECÁNICA DE ROCAS I;0;3;2;5;4;Null
35;;V;"APLICACIÓN DE EXCEL EN MINERÍA (E)/
INNOVACIÓN Y LIDERAZGO (E)/
DISEÑO Y EXCAVACIONES DE OBRAS COMPLEMENTARIAS MINERAS (E)
";0;2;2;4;3;Null
36;;VI;INVESTIGACIÓN DE OPERACIONES MINERAS;0;3;2;5;4;Null
37;;VI;HIDROLOGÍA SUPERFICIAL Y SUBTERRÁNEA;0;2;2;4;3;Null
38;;VI;GEOESTADÍSTICA MINERA;0;2;2;4;3;Null
39;;VI;SEGURIDAD MINERA Y SALUD OCUPACIONAL;0;3;2;5;4;Null
40;;VI;MECÁNICA DE ROCAS II;0;2;2;4;3;Null
41;;VI;MONITOREO Y EVALUACION AMBIENTAL EN MINERÍA;0;2;2;4;3;Null
42;;VI;"FUNDAMENTOS DE PROGRAMACIÓN PARA MINERÍA(E)/
GESTIÓN DEL RECURSO HUMANO(E)/
TECNOLOGÍAS DE INSUMOS DE VOLADURA DE ROCAS. (E)
";0;2;2;4;3;Null
43;;VII;EXTRACCION DE MINERALES ESTRATEGICOS;0;2;2;4;3;Null
44;;VII;MAQUINARIA MINERA;0;3;2;5;4;Null
45;;VII;PERFORACIÓN Y VOLADURA DE ROCAS;0;3;2;5;4;Null
46;;VII;GESTION AMBIENTAL EN MINERÍA;0;2;2;4;3;Null
47;;VII;GEOTECNIA Y GEOMECÁNICA MINERA;0;2;2;4;3;Null
48;;VII;ECONOMÍA Y VALUACIÓN DE MINAS;0;2;2;4;3;Null
49;;VII;"INTRODUCCIÓN A SENSORES Y ROBÓTICA. (E)/
DESARROLLO E IMPLEMENTACIÓN DE INDICADORES DE GESTIÓN(E)/
TALLER DE OPERACIONES MINERAS I €";0;2;2;4;3;Null
50;;VIII;SOSTENIMIENTO DE EXCAVACIONES MINERAS;0;2;2;4;3;Null
51;;VIII;VENTILACIÓN DE MINAS;0;3;2;5;4;Null
52;;VIII;TECNOLOGÍAS AVANZADAS EN MINERÍA;0;2;2;4;3;Null
53;;VIII;INGENIERÍA DE COSTOS EN MINERÍA;0;3;2;5;4;Null
54;;VIII;MÉTODOS DE EXPLOTACIÓN SUBTERRÁNEA;0;3;2;5;4;Null
55;;VIII;PLAN DE CIERRE Y RESTAURACIÓN DE MINAS;0;2;2;4;3;Null
56;;VIII;"INTRODUCCIÓN A LA CIENCIA DE DATOS (E)/
PLANEAMIENTO ESTRATÉGICO EN MINERÍA (E)/
TALLER DE OPERACIONES MINERAS II (E)

";0;2;2;4;3;Null
57;;IX;METODOLOGÍA DE INVESTIGACIÓN EN MINERÍA;0;2;2;4;3;Null
58;;IX;ACARREO Y TRANSPORTE EN MINERÍA;0;3;2;5;4;Null
59;;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN MINERA;0;2;2;4;3;Null
60;;IX;PROCEDIMIENTOS LEGALES MINEROS;0;2;2;4;3;Null
61;;IX;MÉTODOS DE EXPLOTACIÓN SUPERFICIAL;0;3;2;5;4;Null
62;;IX;CONTROL DE OPERACIONES MINERAS;0;2;2;4;3;Null
63;;IX;"INTRODUCCIÓN A LAS APLICACIONES DIGÍTALES EN MINERÍA. (E)/
SIMULACIÓN ECONÓMICA Y FINANCIERA (E)/
GESTIÓN DE EQUIPOS DE ACTIVIDAD MINERA. (E)
";0;2;2;4;3;Null
64;;X;SEMINARIO DE TESIS;0;2;2;4;3;Null
65;;X;DISEÑO Y PLANEAMIENTO DE MINA;0;2;4;6;4;Null
66;;X;COMERCIALIZACIÓN DE MINERALES METÁLICOS Y NO METÁLICOS;0;3;2;5;4;Null
67;;X;ADMINISTRACIÓN Y GERENCIA DE MINAS;0;2;2;4;3;Null
68;;X;GESTION SOCIAL EN MINERÍA;0;2;2;4;3;Null
69;;X;PRACTICAS PRE PREFESIONALES;0;1;2;3;2;Null
70;;X;"SIMULACIÓN DE DISEÑOS MINEROS CON SOFTWARE(E)/
LOGÍSTICA MINERA. (E)/
GESTIÓN Y DIRECCIÓN DE OPERACIONES MINERAS(E)
";0;2;2;4;3;Null
